stock_date,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_0_8,is_high_gt_0_9,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
2024-08-23 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-26 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-08-27 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-08-28 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-08-29 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-08-30 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-03 04:00:00+00:00,1.0,1.0,1.0,1.0,,,,,,,,,
2024-09-04 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-05 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-06 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-09 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-10 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-09-11 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-12 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-13 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-09-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-09-17 04:00:00+00:00,1.0,1.0,1.0,1.0,,,,,,,,,
2024-09-18 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
